first_release_date,genres,id,name,platforms,summary,storyline
1603411200,[32],150302,Endless,[6],Endless  is a casual game where you control a dark cube and your main task is to dodge red obstacles For each obstacle you pass you get a point but if you hit with at least one you will immediately lose and you will have to start over And how many points can you get,Missing
1603411200,"[31, 32]",150275,Vincula,"[3, 6]",Discover battle and explore this vast world of single player adventure Make use of unique powers weapons and abilities and meet the charismatic characters that live in each biome Will you be able to discover the great secret that Vincula holds,Missing
1603411200,"[5, 31, 32]",150213,Corrupted Hospital: Part 1,[6],A horror adventure game for VR,Missing
1603411200,"[12, 15, 24, 31, 32]",150161,Absented Age: Squarebound,[6],Satsuki is a ghost girl that lost her memory and substance and she explores DRIFTWORLD to revive her life This game is the consecutive mixture of ARPG and tactical RPG in roguelike dungeons with the seamless rapid and stressfree gameplay,Missing
1603324800,"[31, 32]",149945,Little Big Monsters,[6],Little Big Monsters is an openworld RPG with roguelike elements following one of your worlds last few powerful heros sent on a quest to rid the planet of monsters and their gruesome overlords that have overtaken your world from hellish dimensions,Missing
1603324800,"[31, 32]",149933,Shadow Walls,[6],Kill a variety of enemies with your pistol or swing your bat Collect letters while you trying to find your sister in dark atmospheric action topdown shooter 2D game,Missing
1603152000,"[13, 31, 32]",149882,Vaporwave,[6],A calm and empty place slow and relaxing music a very special feeling of nostalgia for a version of the 90s that you have not known  Welcome to the world of Vaporwave,Missing
1601942400,"[13, 14, 32]",149865,Wordle 3,[6],Wordle 3  80 new puzzles in 15 categories Explore a new world of 7x7 puzzles,Missing
1603324800,[32],149857,Fish Glutton,[6],Indie Underwater Level Arcade Game,Missing
1604016000,"[31, 32]",149813,Sloth Tales,"[3, 6, 14]",Its called Sloth Tales and its about Jimmys search for his biological father Quite frankly its brilliant  Wordsworth the Panda,Missing
1602028800,"[12, 32, 33]",149781,Stella Voyager,[6],Open World Space Exploring Trading Shmup RPG Space sheriff fighting outlaws King of inter planet trade Investor who contribute to the development of the planets The choice Is yours,Missing
1602115200,"[9, 32]",149775,Penelope,[6],Navigate and manipulate your dreams in this challenging puzzle Rescue all of Penelopes stuffed animal friends before you run out of warm milk Can you outwit the dastardly Emily Watterson and get back the toy she stole from you,Missing
