first_release_date,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1614211200,[33],186548,Moving Out: Digital Deluxe Edition,"[6, 48, 49, 130, 169]",Missing,Become a removals master with the Moving Out Deluxe Edition In this edition you will receive  Moving Out  Employees of the Month Pack  Movers in Paradise  Moving Out Original Soundtrack,Missing,nan,nan,nan,nan,nan,nan
1613001600,[5],183133,CRSED: F.O.A.D. - Ice Age,"[6, 48, 49, 167, 169]",Missing,There will be a lot of new items for the upcoming season including new challenges new items and ways to customize your champion but that definitely isnt all In the new season youll learn to be afraid of the cold meet new Spirit Guardians be able to shoot more effectively and reveal new benefits of the Battle Pass,Missing,nan,nan,nan,nan,nan,nan
1612224000,"[12, 13, 15, 31]",182267,Sword of Elpisia,"[6, 34, 39, 48, 49, 130, 167, 169]",Missing,On Terra a world whose civilization developed thanks to magic tools there are frequent cases of people being turned into magic swords Alice a girl who is traveling with Aldo the main character chooses to become a sword to rescue her friends Will their journey and encounters lead them to a predetermined fate Throw yourself into the beautiful complex turnbased battles using magic swords with up to three weapons set The overwhelming charm of pixelated graphics surround your entire world and adventure in a unique fantasy JRPG Not to mention all the necessary elements from treasure hunting quests pet buddies to almostinfinite level caps,Missing,0.0,18.11,0.0,0.0,0.0,2.0
1612915200,"[4, 13, 14, 15, 32]",174339,Boxing Gym Story,"[6, 39, 48, 130]",Missing,Introducing a sim with real punch Are you the manager this downonitsluck boxing gym needs to get back on its feet Get the town excited about boxing and more people will start signing up Stand by the ringside to cheer on your boxers You never know how a match will go until the very end And dont forget about marketing  fans are the lifeblood of competitive sports Rack up more wins and youll be able to upgrade your facilities with spa baths highclass cafeterias and more Before you know it athletes will be lining up to join you Hire trainers and hone your boxers skills until theyre ready to take on the world Make your gym unique by outfitting it with facilities of your choice creating the perfect environment for fostering boxing talent Dont give up until you get that championship belt Enjoy all the thrills of an underdog boxing story in Kairosofts latest management sim game,Missing,24.7,40.25,43.7,70.0,1.0,4.0
1613433600,Missing,168763,Predator: Hunting Grounds - Valkyrie Predator DLC Pack,"[6, 48]",Missing,To have your trophy claimed by the Valkyrie Predator was seen as a great honor said to guarantee your passage to Valhalla Many fought against her in search of glory but none could best her cunning speed and the force of her godlike weaponry,Missing,nan,nan,nan,nan,nan,nan
1613865600,"[9, 15, 32, 35]",157156,Chess Brain: Dark Troops,"[6, 48, 49]",Missing,This game develops the ability to predict movement in Chess using a playful and immersive concept The dark troops march in a single sound They are more organized and smarter,Missing,0.22,0.69,0.95,50.0,1.0,6.0
1613520000,"[5, 15, 32, 33]",157119,ShapeNeon Chaos,"[6, 48, 130, 167]",Missing,ShapeNeon Chaos is an old school style spaceshooter You are a ship facing off waves of deadly enemies This game was made to give you a shot of adrenaline in a couple of minutes Lots of bullets and neon in an arcade psychedelic shooter,Missing,nan,nan,nan,nan,nan,nan
1613001600,"[9, 31]",154511,Little Nightmares II: Deluxe Edition,"[6, 48, 167]",Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1614470400,"[12, 13, 15, 31, 32]",153748,Armed Emeth,"[6, 34, 39, 48, 49, 130, 167, 169]",Missing,Valess a boy earning petty cash in a commune of drifters is suddenly met by Lock a standalone golem Valess mother was kidnapped by a terrorist organization and upon discovering that the leader of that organization has an enormous bounty on his head Valess receives a golem of his own from Lock and decides to join him on an adventure into the unknown where numerous bounties await Thus begins their journey of grit and oil across several continents,Missing,0.0,26.03,0.0,50.0,1.0,1.0
1612310400,[33],152856,Lizard Lady vs the Cats,"[6, 48]",Missing,Missing,Missing,0.0,0.0,2.13,10.0,1.0,3.0
1614297600,"[8, 31, 32]",150458,Dr. Oil,"[6, 48, 49, 130]",Missing,This is a classic 2D hardcore platformer in which you have to constantly die in order to advance and kill the most evil seagull in the world,Missing,nan,nan,nan,nan,nan,nan
