,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
52,"[5, 32]",211760,Valfaris: Mecha Therion,"[6, 48, 49, 130, 167, 169]",Therion returns as the hunt for Lord Vroll continues Pilot an advanced machine of death and destruction in this explosive 25D sidescrolling shoot em up and sequel to the critically acclaimed Valfaris Strap in and unleash mecha hell,Missing,,,,,,
53,"[5, 12, 31]",208399,Gangs of Sherwood,"[6, 167, 169]",Fight the armies of the Sheriff of Nottingham and lead the rebellion solo or in coop with up to 4 players Play as one of the Merry Men combine your attacks and free the people in this futuristic dystopia inspired by the legend of Robin Hood,Missing,0.0,0.0,0.0,0.0,0.0,0.0
54,"[9, 31, 32]",198494,Spells & Secrets,"[6, 130, 167, 169]",Spells  Secrets is a modernday fantasy roguelike set in a procedurally generated wizarding school Players can craft their own wizard using indepth character creation team up with a friend via local coop and get creative with an arsenal of physicsbased magic using clever combinations of spells to get the upper hand against puzzles and enemies alike,In Spells and Secrets you play as a firstyear student of the magical arts at the Academy of Greifenstein a modernday wizarding school A strange incident on your first day has thrown Greifenstein into turmoil Now its down to you to venture into the procedurally generated castle grounds and save the school  Players can craft their own wizard using indepth character creation team up with a friend via local coop and get creative with an arsenal of physicsbased magic using clever combinations of spells to get the upper hand against puzzles and enemies alike,0.0,0.0,0.0,0.0,0.0,0.0
55,"[8, 9, 31, 32]",198439,American Arcadia,"[6, 48, 167, 169]",Escape from a televised utopia in Out of the Blues brand new puzzleplatformer game  Welcome to Arcadia A 70s retrofuturistic metropolis where all its citizens enjoy a life of luxury and comfort unaware that theyre being broadcast live 247 Arcadia is not an ordinary city but the most watched reality show on the planet  where a drop in popularity ratings comes at the highest cost death  Uncover the truth and escape with your life in American Arcadia,The gripping story will be presented as a documentary with interviews and police interrogations of the characters as you progress through the game American Arcadia gives you control over two characters in completely different environments and unique playstyles A 25D action sidescroller including challenging platform action breathtaking chases stealth and puzzles As well as a full 3D firstperson game with hacking exploration stealth elements and puzzles to solve,6.5,0.0,0.0,85.0,2.0,5.0
56,"[31, 32]",196998,The Silent Swan,"[6, 167]",The Silent Swan is a firstperson open world narrative experience across a monolithic derelict world Mixing both the walking simulator and open world genres together the game brings the meaning of openness to urban areas for the first time to this scale,Missing,,,,,,
57,"[12, 16, 31]",194696,In Stars and Time,"[6, 48, 130, 167]",In Stars and Time is a timelooping RPG adventure With each loop Siffrin gains a new perspective on the world around them opening up new solutions to puzzles and allowing them to make better choices in conversation Equip memories as armor pray to the Change God to improve your teams capabilities each loop and challenge deadly foes to Rock Papers Scissors as Siffrin seeks the truth,In Stars and Time tells the story of Siffrin and their adventurer friendsa found family bound together by fate in order to end the tyrannical reign of an evil king But as victory is just within the partys grasp a tragedy occurs the clock resets and they have to do it all again  As Siffrins the only one who notices this loop each new start wears away at his cheerful veneer yet he keeps going in hopes he can end this temporal tragedy once and for all,0.0,0.0,0.0,0.0,0.0,0.0
58,"[8, 12, 31]",185240,Thirsty Suitors,"[6, 48, 49, 130, 167, 169]",Can Jala learn to love herself and heal the wounds of her past Thirsty Suitors is a stylish storydriven adventure that unfolds through turnbased battles skateboarding and cooking,Can Jala handle her demanding parents reconcile with her exes and mend broken friendships in time for her sisters wedding Will she be ready for the impending visit of Nani the familys terrifying and judgmental matriarch  Through the games story Jala will confront her exes in cinematic turnbased battle sequences,7.11,8.76,9.64,80.0,13.0,21.0
59,"[4, 12, 31, 32]",173080,Phantom Blade: Executioners,"[6, 34, 39, 48, 167]",Phantom Blade Executioners is a fastpaced action game set in the Phantom World It features a rich storyline of KungFu adventures where you dive into a conspiracy that threatens to topple the world cut down FungFu masters who have succumbed to insanity and find out the mastermind following a series of seemingly independent incidents,Missing,0.0,0.0,0.0,0.0,0.0,0.0
60,"[5, 12, 31]",154775,Robocop: Rogue City,"[6, 130, 167, 169]",Become the iconic part man part machine all cop hero as you attempt to bring justice to the dangerous crimeridden streets of Old Detroit Armed with your trusty Auto9 factorybuilt strength years of experience on the force and a variety of tools at your disposal you will fight forces seeking to destroy the city you call home in an all new firstperson explosive hunt for the truth You have the power to decide how to fulfil prime directives in your own way but as the story unfolds proceed with caution because corruption and greed know no limits,Missing,8.41,14.74,16.32,75.0,37.0,61.0
61,"[31, 32]",138906,The Invincible,"[6, 167, 169]",Rethink humans dominion in The Invincible a storydriven adventure set in a hard scifi world by Stanisław Lem Discover planet Regis III as scientist Yasna use atompunk tools looking for a missing crew and face unforeseen threats Make choices in a philosophical story thats driven by science,Missing,6.01,7.34,8.12,76.0,23.0,34.0
62,"[8, 12, 25, 31, 32]",133896,The Last Faith,"[6, 14, 48, 49, 130, 167, 169]",The Last Faith is an explorationbased Metroidvania action sidescrolling platformer with dark and gothic horror themes at its core An ancient religion is ruling for centuries the world left to its fate The once majestic capital and full of a glorious past is now decadent and haunted by a fatal disease Eric will have to subvert the words of the hidden prophecy and discover the truth behind the now corrupted and ravaged world,An ancient religion is ruling for centuries the world left to its fate The once majestic capital and full of a glorious past is now decadent and haunted by a fatal disease Eric will have to subvert the words of the hidden prophecy and discover the truth behind the now corrupted and ravaged world,0.0,0.0,0.0,0.0,0.0,0.0
63,[5],132226,Quantum Error,"[6, 48, 167, 169]",Quantum Error is a cosmichorror FPS,When the Monad Quantum Research Facility  30 miles off the shore of CA  is attacked by an unknown entity engulfing the complex in flames and putting it into a full containment lockdown a distress call is sent for mutual aid to the Garboa Fire Dept in San Francisco CA  Fire Chief Sturgis answers the call and sends you  Capt Jacob Thomas  your partner Shane Costa and a crew by helicopter to the Monad Facility  Your mission is simple save as many lives from the burning complex as possible and get out However what starts as a rescue mission quickly plummets into darkness when you arrive and find that things are not as they appear,0.0,0.0,0.0,0.0,0.0,0.0
64,"[9, 31, 32]",79864,The Talos Principle II,"[6, 167, 169]",The Talos Principle II is a thoughtprovoking firstperson puzzle experience that greatly expands on the first games philosophical themes and stunning environments with increasingly mindbending challenges,Missing,17.19,27.92,33.4,89.0,22.0,56.0
