first_release_date,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1682380800,233576,Strayed Lights,"[6, 48, 49, 130, 167, 169]",Play as a newborn flame torn by shadows Progress in a hostile world on a quest to restore your light by facing your inner demons and helping beings along the way Unlock new abilities as your light brightens Find your siblings who went rogue each deformed by a specific emotion Battle these monstrous forms and pacify the emotions that control them Face your inner demons taken form to hinder your progress,An atmospheric action adventure combining a wordless experience with cinematic fights based around colors Restore your light that was torn by shadows and face endearing creatures deformed by their emotions,"[4, 12, 31, 32]",Missing,4.09,4.48,5.75,63.0,8.0,20.0
1682380800,233272,Fairy Fencer F: Refrain Chord - Day One Edition,"[48, 130, 167]",Missing,Fang and the gang return in this allnew Tactical RPG directly connected to the story of Fairy Fencer F Advent Dark Force Fang and the others run into a mysterious woman named Glace who has the ability to brainwash other people with her song Another woman named Fleur joins their party who also has the power of song The two are known as Muses and are able to boost or change other peoples abilities with the power of singing  What could Glaces motives be,Missing,Missing,nan,nan,nan,nan,nan,nan
1682553600,231405,Yahari Game Demo Ore no Seishun Love-come wa Machigatteiru. Kan,"[48, 130]",Missing,Yahari Game Demo Ore no Seishun Lovecome wa Machigatteiru Kan features an original story with six routes based on the players decisions  In the game the player can enjoy new stories centered around six heroines Yukino Yukinoshita Yui Yuigahama Iroha Isshiki Saika Totsuka Shizuka Hiratsuka and Saki Kawasaki different from the stories of the anime and light novel The direction that the story takes is up to the player,"[31, 34]",Missing,nan,nan,nan,nan,nan,nan
1680739200,230504,Across the Valley,"[163, 390]",Missing,Across the Valley is your friendly VR farm developed exclusively for virtual reality where you really lend a hand Instead of clicking around in menus you care for the animals and plants with your own hands Instead of looking at the farm from up above you yourself can relax in this handdrawn paradise,"[13, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
1682035200,228735,Enter/Exit the Gungeon,"[48, 130]",Missing,Enter the Gungeon is a bullet hell dungeon crawler following a band of misfits seeking to shoot loot dodge roll and tableflip their way to personal absolution by reaching the legendary Gungeons ultimate treasure the gun that can kill the past  Exit the Gungeon is a small spinoff dungeon climber immediately following the adventures of the misfit Gungeoneers,Missing,Missing,nan,nan,nan,nan,nan,nan
1682640000,227942,Star Wars Jedi: Survivor - Deluxe Edition,"[6, 167, 169]",Missing,The story of Cal Kestis continues in Star Wars Jedi Survivor a thirdperson galaxyspanning actionadventure game from Respawn Entertainment developed in collaboration with Lucasfilm Games This narratively driven singleplayer title picks up five years after the events of Star Wars Jedi Fallen Order and follows Cals increasingly desperate fight as the galaxy descends further into darkness Pushed to the edges of the galaxy by the Empire Cal will find himself surrounded by threats new and familiar As one of the last surviving Jedi Knights Cal is driven to make a stand during the galaxys darkest times  but how far is he willing to go to protect himself his crew and the legacy of the Jedi Order  The Deluxe Edition includes exclusive cosmetic items for Cal inspired by Han Solo and Luke Skywalker as seen in Star Wars A New Hope,[31],Missing,nan,nan,nan,nan,nan,nan
1682035200,223108,Ankora: Lost Days & Deiland: Pocket Planet - Collector's Edition,"[48, 130]",Missing,Discover the wild planet of Ankora in a singleplayer survival adventure with exploration and crafting A tale about growing up making friends and connecting with nature,Missing,Missing,nan,nan,nan,nan,nan,nan
1682380800,221060,Magical Drop VI,"[6, 48, 49, 130]",Missing,The legendary Japanese arcade game is back Choose your favorite characterwill it be World the Overseer of the Magical Land the mighty Justice or the devious Black Pierrotand play in one of the numerous game modes available  Solve diabolical puzzles or beat strong opponents in Arcade match Follow an adventure in Story or Path of Destiny modes full of twists and turns Challenge your friends and the best players online,"[9, 33]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1681344000,218520,Trinity Fusion,"[6, 48, 49, 167, 169]",Missing,Take control of your parallel selves on a mission to save the dying multiverse in this roguelite action platformer Explore dark scifi worlds and engage in fastpaced smooth and precise combat,"[8, 12, 32]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1681171200,216584,Process of Elimination: Deluxe Edition,"[48, 130]",Missing,Process of Elimination  Deluxe Edition includes   Process of Elimination Nintendo Switch Game  PS4 Game  Digital Soundtrack  Mini Art Book,Missing,Missing,nan,nan,nan,nan,nan,nan
