first_release_date,id,name,platforms,summary,genres,storyline
1699315200,223863,Tintin Reporter: Cigars of the Pharaoh,"[6, 48, 49, 130, 167, 169]",Tintin and his faithful companion Snowy are going to experience some extraordinary adventuresAfter meeting Professor Sarcophagus whilst cruising the Mediterranean Sea the famous reporter sets out in search of the tomb of the Pharaoh KihOskh,[31],Missing
1699488000,217624,Like a Dragon Gaiden: The Man Who Erased His Name,"[6, 48, 49, 167, 169]",This game covers Kiryus story between Like a Dragon 7 and Like a Dragon 8,"[12, 25, 31]",Missing
1699488000,215915,Dungeons 4,"[6, 167, 169]",The Absolute Evil and its trusted cough servant the Dark Elf Thalya return in Dungeons 4 after the events of its fabulous predecessor to bring about their triumph over the forces of good once more,"[11, 13, 15]",Missing
1700524800,214709,Worldless,"[6, 48, 49, 130, 167, 169]",Worldless is a stylised 2D Adventure Platformer with turnbased combat and a mindbending interpretative narrative Players will walk the line between physical and astral planes within a shapeless world embarking on a journey of selfgrowth and understanding,"[8, 12, 15, 16, 31]",Worldless is set at a time where the rules of existence remain undefined Players will explore a shapeless world of two realms one filled with entities forming their growth and understanding the other is the place they aspire to This inevitably thrusts them into a war against polarities in a battle for transcendence  In this 2D Action Adventure Platformer players will jump glide and dash through an indeterminate setting uncovering its secrets and finding their place within a mindbending reality  Along the way are encounters with beings who believe their superiority has automatically earned them a place in the next existence Using turnbased rules along with a unique defend and combination system that requires patience timing and the desire for development your strength and capabilities will truly be put to the test
1700524800,211760,Valfaris: Mecha Therion,"[6, 48, 49, 130, 167, 169]",Therion returns as the hunt for Lord Vroll continues Pilot an advanced machine of death and destruction in this explosive 25D sidescrolling shoot em up and sequel to the critically acclaimed Valfaris Strap in and unleash mecha hell,"[5, 32]",Missing
1698883200,208399,Gangs of Sherwood,"[6, 167, 169]",Fight the armies of the Sheriff of Nottingham and lead the rebellion solo or in coop with up to 4 players Play as one of the Merry Men combine your attacks and free the people in this futuristic dystopia inspired by the legend of Robin Hood,"[5, 12, 31]",Missing
1699833600,204418,Spirittea,"[6, 49, 130, 169]",A sliceoflife RPG set in east Asia Spirittea is a story about a city author heading out to a mountain town to pick up inspiration for their book In doing so they find a magical teapot that allows them to see into the spirit world Strange occurrences plague the town and its up to the player to find and appease the spirits by rebuilding their bathhouse and managing it to a high standard in order to allow them to soak away their troubles This then frees up the townspeople who will look to bond with you over food games karaoke fishing and bug catching giving you plenty of inspiration for your novel,"[9, 12, 13, 31]",A writer moves to the countryside to find the inspiration to write their novel Luckily theyll find plenty of it after drinking some spirittea  it allows them to see into the spirit world where the local spirits are very upset Players must fix up their problems and rebuild the spirit bathhouse to restore peace to the mountain all while making friends and taking on hobbies with the local townsfolk
1699401600,201040,Risk of Rain 2 & Survivors of the Void,[49],Unleash the critically acclaimed Risk of Rain 2 and its first ever expansion Survivors of the Void Escape a chaotic alien planet by fighting through hordes of frenzied monsters  with your friends or on your own,Missing,Missing
1699488000,198494,Spells & Secrets,"[6, 130, 167, 169]",Spells  Secrets is a modernday fantasy roguelike set in a procedurally generated wizarding school Players can craft their own wizard using indepth character creation team up with a friend via local coop and get creative with an arsenal of physicsbased magic using clever combinations of spells to get the upper hand against puzzles and enemies alike,"[9, 31, 32]",In Spells and Secrets you play as a firstyear student of the magical arts at the Academy of Greifenstein a modernday wizarding school A strange incident on your first day has thrown Greifenstein into turmoil Now its down to you to venture into the procedurally generated castle grounds and save the school  Players can craft their own wizard using indepth character creation team up with a friend via local coop and get creative with an arsenal of physicsbased magic using clever combinations of spells to get the upper hand against puzzles and enemies alike
1700006400,198439,American Arcadia,"[6, 48, 167, 169]",Escape from a televised utopia in Out of the Blues brand new puzzleplatformer game  Welcome to Arcadia A 70s retrofuturistic metropolis where all its citizens enjoy a life of luxury and comfort unaware that theyre being broadcast live 247 Arcadia is not an ordinary city but the most watched reality show on the planet  where a drop in popularity ratings comes at the highest cost death  Uncover the truth and escape with your life in American Arcadia,"[8, 9, 31, 32]",The gripping story will be presented as a documentary with interviews and police interrogations of the characters as you progress through the game American Arcadia gives you control over two characters in completely different environments and unique playstyles A 25D action sidescroller including challenging platform action breathtaking chases stealth and puzzles As well as a full 3D firstperson game with hacking exploration stealth elements and puzzles to solve
1698883200,185240,Thirsty Suitors,"[6, 48, 49, 130, 167, 169]",Can Jala learn to love herself and heal the wounds of her past Thirsty Suitors is a stylish storydriven adventure that unfolds through turnbased battles skateboarding and cooking,"[8, 12, 31]",Can Jala handle her demanding parents reconcile with her exes and mend broken friendships in time for her sisters wedding Will she be ready for the impending visit of Nani the familys terrifying and judgmental matriarch  Through the games story Jala will confront her exes in cinematic turnbased battle sequences
1699401600,172307,Lost Islands,[169],Explore this survival and exploration RPG game that combines adventure escape fantasy All in one game,[31],Missing
1698883200,154775,Robocop: Rogue City,"[6, 130, 167, 169]",Become the iconic part man part machine all cop hero as you attempt to bring justice to the dangerous crimeridden streets of Old Detroit Armed with your trusty Auto9 factorybuilt strength years of experience on the force and a variety of tools at your disposal you will fight forces seeking to destroy the city you call home in an all new firstperson explosive hunt for the truth You have the power to decide how to fulfil prime directives in your own way but as the story unfolds proceed with caution because corruption and greed know no limits,"[5, 12, 31]",Missing
1699401600,153942,Yuko and the Akuma Menace,[49],Yuko and the Akuma Menace is a topdown grid based movement adventure maze game set in a ninja world of fantastic creatures and magic Fight monsters with your kunai shurikens and smoke bombs Cross dangers using the magical orbs and save the world from the greatest threat ever,"[31, 32]",Missing
1699228800,138906,The Invincible,"[6, 167, 169]",Rethink humans dominion in The Invincible a storydriven adventure set in a hard scifi world by Stanisław Lem Discover planet Regis III as scientist Yasna use atompunk tools looking for a missing crew and face unforeseen threats Make choices in a philosophical story thats driven by science,"[31, 32]",Missing
1700006400,133896,The Last Faith,"[6, 14, 48, 49, 130, 167, 169]",The Last Faith is an explorationbased Metroidvania action sidescrolling platformer with dark and gothic horror themes at its core An ancient religion is ruling for centuries the world left to its fate The once majestic capital and full of a glorious past is now decadent and haunted by a fatal disease Eric will have to subvert the words of the hidden prophecy and discover the truth behind the now corrupted and ravaged world,"[8, 12, 25, 31, 32]",An ancient religion is ruling for centuries the world left to its fate The once majestic capital and full of a glorious past is now decadent and haunted by a fatal disease Eric will have to subvert the words of the hidden prophecy and discover the truth behind the now corrupted and ravaged world
1698969600,132226,Quantum Error,"[6, 48, 167, 169]",Quantum Error is a cosmichorror FPS,[5],When the Monad Quantum Research Facility  30 miles off the shore of CA  is attacked by an unknown entity engulfing the complex in flames and putting it into a full containment lockdown a distress call is sent for mutual aid to the Garboa Fire Dept in San Francisco CA  Fire Chief Sturgis answers the call and sends you  Capt Jacob Thomas  your partner Shane Costa and a crew by helicopter to the Monad Facility  Your mission is simple save as many lives from the burning complex as possible and get out However what starts as a rescue mission quickly plummets into darkness when you arrive and find that things are not as they appear
1699920000,122866,Broken Roads,"[6, 49, 169]",Broken Roads was born of a love for traditional isometric computer roleplaying and will provide a rich engaging narrative in which players make their way across a desolated Australia  Blending together traditional and allnew roleplaying elements on top of a classless system offering nearunlimited character development options Broken Roads presents players with an original morality system the Moral Compass This novel design sees dialogue options and questing decisions influence and be influenced by a characters philosophical leaning,"[12, 16, 32]",Missing
1698883200,79864,The Talos Principle II,"[6, 167, 169]",The Talos Principle II is a thoughtprovoking firstperson puzzle experience that greatly expands on the first games philosophical themes and stunning environments with increasingly mindbending challenges,"[9, 31, 32]",Missing
