,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
28,[32],169961,Steel Storm: Forgotten Prison,[6],Missing,Of course you all remember Steel Storm well known for its fierce and intense action This DLC is not only action packed but also brings a challenge full of puzzles and traps you need to think your way through Think outside the box explore observe and you shall succeed at your mission,Missing,,,,,,
29,"[11, 15]",168461,Company of Heroes 2: Case Blue Mission Pack,[6],Missing,After the long winter of 1941 the German Wehrmacht launched a massive summer offensive in June of 1942 codenamed Case Blue The goal of this operation was to capture the oilrich lands of the Caucasus region Case Blue achieved spectacular early gains but met with strong resistance around Stalingrad,Missing,,,,,,
30,"[11, 15]",168279,Company of Heroes 2: German Commander - Mechanized Assault Doctrine,[6],Missing,German Commander  Mechanized Assault Doctrine Move quickly and strike hard with a variety of units trained for fighting at close quarters Use vehicles and infantry together to outmaneuver your opponent Tiger Tank Allows the requisition of the Tiger Heavy Tank to the battlefield,Missing,,,,,,
31,"[11, 15]",168278,Company of Heroes 2: German Commander - Osttruppen Doctrine,[6],Missing,German Commander  Osttruppen Doctrine Mobilize earlygame infantry and improved resources to overwhelm your opponents and gain early map control Railway Artillery Support Offmap railway artillery will fire three large caliber shells at the designated target,Missing,,,,,,
32,"[11, 15]",168274,Company of Heroes 2: Soviet Commander - Urban Defense Tactics,[6],Missing,Soviet Commander  Urban Defense Tactics Muster your defenses to fight the enemy street to street and house to house Plant traps and build forward emplacements to strengthen your line Incendiary Artillery Barrage Areas if the map can be bombarded with incendiary round to burn infantry and deny access,Missing,,,,,,
33,[13],151424,Cities in Motion 2: Back to the Past,"[3, 6, 14]",Missing,Looking for a vintage feeling Here are a few vehicles that were in the original game too The pack contains two buses two trams a ferry and a trolley bus to spice up your game Comet Ambienta bus Introduced to the world in 1995 by the successful Swedish manufacturer its design was inspired by smooth forms of nature and recent,Missing,,,,,,
34,"[12, 31]",146069,Final Fantasy V,"[6, 34, 39]",Missing,On March 28th 2013 an iOS remaster was released worldwide and the Android version on September 26 2013 The game is based on the Game Boy Advance version and thus includes all its bonus content It has upgraded graphics along with new menu portraits The graphics are similar to those of Final Fantasy Dimensions The music is of the original Super Famicom version quality aside the sound effects which have been remastered The game now includes achievements in the nonAmazon Appstore versions some of which are missable,Missing,31.96,36.72,59.64,80.0,500.0,656.0
35,Missing,145628,Delicious: Emily's Honeymoon Cruise,"[6, 34, 39]",Missing,The newlyweds are going on a romantic honeymoon cruise Emily is a bit apprehensive when Patrick talks about having children To make matters more complicated she finds out the whole family is on the trip as well,Missing,0.0,0.0,13.02,60.0,2.0,2.0
36,"[31, 34]",143339,Muv-Luv Unlimited: The Day After - Episode 03,[6],Missing,The stakes grow higher in this latest episode of Muv Luv Unlimited The Day After The shadow of nuclear annihilation looms over mankind as France places the city of Seattle in the crosshairs Can humanity overcome this crisis and unite to face the BETA,Missing,,,,,,
37,[5],140875,Pirate Doom,[6],Missing,Pirate Doom is a megawad and partial conversion for Doom II It is heavily inspired by the Monkey Island series and features reskinned enemies custom music and new weapons as well as new textures and 18 new maps It was created by Arch also known as Darch The full version was released on the 4th September 2013 and received one of the 20th Annual Cacowards with the final update being on the 6th June 2014,Missing,3.01,4.48,0.0,88.0,4.0,5.0
38,[34],140757,Shirahana no Ori: Hiiro no Kakera 4 - Shiki no Uta,"[6, 34, 38, 39]",Missing,A sequel to Shirahana no Ori  Hiiro no Kakera 4 with four seasonal stories Song of Spring Summer Festival Autumn Harvest and Winter Snowflakes,Missing,,,,,,
39,[34],139023,Magical Marriage Lunatics!!,"[6, 34, 39, 74, 238]",Missing,Yuuta is just your typical guy who enjoys an ordinary school life with his childhood friend Yuuna Suddenly one day a mansion appeared in his backyard inhabited by the vampire princess Luce One by one other otherworldly princesses came to him all of whom had made a childhood promise to be his bride when they grew up He didnt remember the promises but then Yuuna also joined into the fray and proclaimed that shes the one who will always be with him,Missing,,,,,,
40,"[2, 12, 31]",132708,Rance 01: Quest for Hikari,[6],Rance is a brutish and perverted warrior that makes a living from several paid jobs he gets from the local Keith Guild in the town of Ice in the Free Cities Alliance along with his relatively recently purchased and faithful slave Sill Plain  One day he receives a request to investigate the missing case of a noble girl from the majestic Kingdom of Leazas called Hikari Mi Blanc who mysteriously disappeared after attending a prestigious academy in the capital of the country Upon realizing that shes a cute girl he accepts the job immediately and travels to Leazas along with Sill in order to find the missing girl but he will soon find out that its a case much deeper than it initially appears to be  And so his Quest for Hikari begins,This game is a remake of the 1989 classic the first Rance game ever made 25 years ago The gameplay system graphics and everything else was revamped on a much larger scale than they were for Rance 02 and will be a product by itself rather than being a part of a compilation such as Alices Cottage  Just like the original though the game heavily features classic ADVlike interaction with the environment and characters look touch etc and 810 hours in length,Missing,9.8,12.58,16.95,69.0,7.0,17.0
41,[35],130811,Sega Net Mahjong Mj,"[6, 55]",Missing,A home version of Segas MJ series of arcade mahjong games for PC and mobile devices released in 2013 in Japan Notable features include a gacha system for acquiring new characters music etc and match commentary It was later translated and released in North America for mobile devices in 2020 although this version had its online service shut down less than a year later,Missing,,,,,,
42,Missing,128704,Solaris,[6],Missing,become a part of a world of color light and aural adventure solaris    create destroy move and manipulate the objects and surroundings at your disposal watch as colors pulse across your screen listen as the sound and music shifts based on what you want to see and hear solaris is a living canvas for you to explore and change    in this world death is a concept that does not exist there are no threats waiting to sneak up on you nothing wants to see you defeated there are no bosses and there is no true ending there is no pressure and you are not required to play a certain way the only thing that exists is you and the experience you wish to create,Missing,1.45,0.0,0.0,60.0,4.0,3.0
43,[5],128649,Metro: Last Light - Developer Pack,"[6, 9, 12]",Missing,The Developer Pack is a DLC pack that was billed as giving creative players some interesting tools with which to explore the Metro prior to its release The main feature includes a Shooting Gallery a Metro Museum and an AI Arena as well as a new singleplayer mission  Spider Lair  containing many Spiderbugs,Missing,,,,,,
44,[5],128648,Metro: Last Light - Tower Pack,"[6, 9, 12]",Missing,The Tower Pack DLC is the second DLC pack for Metro Last Light and was released on September 3rd on Xbox 360 and Steam and on September 4th on PSN It was billed as a unique solo challenge to Metro veterans before its release,Missing,,,,,,
45,Missing,120272,Inventor,"[6, 82]",Missing,A game made in 48 hours about a boy who invents many things and the various successes he attains through his inventions,Missing,,,,,,
46,"[13, 15]",119427,March of the Eagles: British Unit Pack,[6],Missing,Bring new variety to your battlefield with 16 new unit models for British armies in March of the Eagles Included in this DLC are the famous Highlander brigades and the Kings German Legion as well as unique unit models for British Dragoons Guards brigades Light Infantry brigades Guard Cavalry and many more,Missing,,,,,,
47,"[31, 32]",108128,Winter Voices: Episode 6 - Falls,[6],Missing,The sun and the mistYou have reached the town the first real townand which town Here your true voyage will starthere your road to the bay of sapphire will truly begin There are so many things to prepare so many things to accomplish before you can leave the mist,Missing,,,,,,
