,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
53,9828,El Matador,[6],Experience the adrenalinefuelled danger and heartpounding excitement in the war on organised drug syndicates When standard procedures fail the hardliners are brought in  Become El Matador a DEA special agent tasked with taking down the drug barons A new narcotics cartel is rising across Central and South America sharpening its claws and extending its reach Locate the encampments infiltrate the headquarters and put an end to the cartels influence In a tale of corruption revenge and morality the mission brief is simple Eliminate the threat  Ultimate justice El Matador style,[5],69.4433515420569,Colombia South America All agents at DEA SouthAmerican headquarters get killed in a brutal assault The new drug gang called La Valedora stick to their aim  become the most powerful drug mafia in the area  and everybody who gets in their way is eliminated with no grace  When standard procedures fail the DEA send their best man  Victor Corbet is a special mission agent whose task is to eliminate the boss of La Valedora and destroy this drug cartel His fellow fighters are members of Bogota Antidrug Department  captain Carlos Enterador and lieutenant Mia Rodriguez  Together they need to face the drug mafia in a bloody singlewinner fight,4.47,6.52,9.1,62.0,39.0,29.0
54,1152,Secrets of the Ark: A Broken Sword Game,[6],Secrets of the Ark A Broken Sword Game returns to its roots by reintroducing pointandclickbased mouse control next to keyboard control although still relying on a full 3D engine with fixed camera perspectives A few puzzles are still actionbased but you are now given more time to act in stressful situations rather than having to make splitsecond decisions Next to the regular puzzles you need to investigate images texts and clues in the central manuscript as the story progresses,"[2, 9, 31, 32]",69.36821688243394,After reluctantly battling dragons Mayan gods and becoming a Knight of a long lost Holy Order unwitting hero George Stobbart settles down to a life of mundane 95 office work Who would have thought that a mysterious and beautiful woman would enter his life a woman whose sudden disappearance draws him into a desperate search for a nefarious artifact of great and terrible power,,,,,,
55,5964,NHL 07,"[6, 8, 11, 12, 38]",NHL 07 is an ice hockey video game released in 2006 as the successor to NHL 06 The game improved the series gameplay with more realistic features such as stickhandling and a wider variety of controller schemes The Xbox 360 version features a completely revamped game and graphics engine from the predecessor while the other versions are left behind with the old engine It is the only game in the series to have a PSP version the last installment to be released on Xbox and the first installment to be released on Xbox 360,"[13, 14]",66.64206477350811,Missing,10.0,0.0,0.0,73.0,6.0,1.0
56,10763,SuperTuxKart,"[3, 6, 14, 34, 39]",SuperTuxKart also known as STK is a free and opensource kart racing video game featuring the Linux mascot Tux SuperTuxKart is crossplatform running on Windows OS X Linux AmigaOS 4 AROS MorphOS and other Unix systems The latest stable version of the game is version 13 and was released on September 28 2021 SuperTuxKart started as TuxKart an open source game for Linux by Steve Baker which stopped being developed after version 040,"[10, 33]",63.2541286092717,Missing,5.61,0.0,15.0,73.0,4.0,4.0
57,1042,Just Cause,"[6, 8, 11, 12]",The Agency needs you to topple the dictator of San Esperito Incite a revolution ally with drug cartels or go it alone  Just Cause gives you the freedom to tackle your assignment however you want,"[5, 10, 31]",63.09742394814705,Missing,8.32,19.79,30.7,58.0,204.0,219.0
58,5922,The Ship: Murder Party,[6],The Ship is a unique multiplayer game Set on a series of luxury art deco cruise ships built by Mr X this devilish game challenges you to kill or be killed Once youe on board youre given the name of another passenger whom you must find and secretly murder,"[5, 12, 32]",60.0703217209221,The Ship is owned by the mysterious Mr X and as one of many lucky recipients of a free ticket you arrive on board The Ship to find theres a catch to your luxury cruise You are coerced into a brutal Hunt to indulge Mr Xs fantasies under threat of death for not only yourself but also your family Your only chance to save yourself and your family is to play the Hunt and win  read the play guide to aid you in your hunt,,,,,,
59,32278,Police Quest Collection,[6],Walk the thin blue line in four of the most realistic crime games ever created packed with complex storylines and reallife mysteries that only a handful of real police officers ever face  or solve,"[2, 15, 31]",60.0,Missing,0.0,0.0,36.0,80.0,1.0,1.0
60,51868,Sea Dogs: Caribbean Tales,[6],Sail the rough seas with your tall ship and loyal crew of vicious cutthroats and fierce corsairs Build up your fleet and capture and rule colonies to become the mightiest pirate of them all  Sea Dogs Caribbean Tales is a naval game devoted to pirate adventures on the Caribbean seas of the 17th century aiming to be the ultimate pirate simulation Sea Dogs Caribbean Tales models all the details of a sword swinging pirates life and misses no part of his everyday adventures Taking the role of reckless fortunehunter Blaze or redheaded daredevil Beatrice  you will navigate your sailor in the original seas of the Caribbean trade multiple goods plunder merchant convoys accomplish quests build up your fleet capture and rule colonies and much more In addition the game can be played in third person perspective allowing you to walk through your colonies or fight with your own sword side by side with your crew and challenge every other captain on the sea,[12],50.0,Missing,,,,,,
61,15716,Poker Superstars II,[6],Youve been invited back for Season 2 Poker Superstars II raises the stakes with more superstars a bigger tournament and a brand new poker AI Import your own photo into the game and become a Poker Superstar Then get ready to battle through an exciting new tournament structure against 15 of pokers top players powered by a first of its kind artificial intelligence system that has learned to win by playing millions of simulated tournaments The Superstars are ready to win are you,"[15, 16, 32, 35]",50.0,Missing,0.0,0.0,0.0,0.0,0.0,0.0
62,70298,God Came to the Cave,[6],You are a spirit locked in a cave between life and afterlife Youve decided to help other lost spirits Its a mix between an exploration and adventure game Its pretty nice and cosy,[31],44.666667,Missing,0.0,0.0,0.0,40.0,1.0,0.0
