,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
234,26253,Euro Truck Simulator 2: Scandinavia,"[3, 6, 14]",Get ready for the largest and most exciting DLC for Euro Truck Simulator 2 so far This map expansion features Sweden Norway and Denmark with mile upon mile of scenic roads and numerous landmarks to see across these three beautiful Nordic countries New ferry terminals also allow you to board ferries directly and access the coastal cities plus use new sea routes to ports in northern Germany Poland and the United Kingdom Discover 27 Scandinavian cities including Stockholm Malmö Göteborg Oslo Stavanger Bergen København Aalborg and Esbjerg,"[13, 31, 32]",Travel across Europe as king of the road a trucker who delivers important cargo across impressive distances With dozens of cities to explore from the UK Belgium Germany Italy the Netherlands Poland and many more your endurance skill and speed will all be pushed to their limits If youve got what it takes to be part of an elite trucking force get behind the wheel and prove it,68.00543694715995,,,,,,
235,21592,The Evil Within: The Executioner,"[6, 9, 12, 48, 49]",The Executioner is the third DLC of The Evil Within Set as firstperson battle matches the player takes control of a Keeper and faces many creatures and characters from the game As enemies are defeated coins are collected to purchase new weapons and upgrades,[12],The story is focused on an unknown man who is linked to MOBIUS is connected to the STEM and is in control of a safe headed creature known as The Keeper The player is in search of his daughter and must follow diaries to understand the truth The Keeper is also given orders by MOBIUS to eliminate the other subjects within the Mansion and other locations due to their effect on his daughter,63.82068783718221,1.41,1.72,2.43,68.0,106.0,162.0
236,11200,Guns Up!,"[6, 48]",GUNS UP is a freetoplay sidescrolling strategy game that pits players against each other in a battle to destroy enemy bases to increase their own armys strength GUNS UP combines the fun of enemy base invasion with towerdefense for an experience like no other on the PS4 system FreeToPlay  Players on PS4 can download and play GUNS UP for free Players can use ingame experience or purchases from the store to unlock upgrades to supplement their armies customize their characters and upgrade their bases Find and Destroy Enemy Bases  While connected online players can build their army to obliterate opponents bases to become to ultimate field commander Build And Defend Your Base  Set up and tweak your military stronghold to keep the enemy away from your base Leveling System  Upgrade bases and enhance your troops by unlocking perks As you gain experience your troops and armaments level up improving players abilities to conquer more enemies,"[11, 15, 24]",Missing,61.97897883307773,3.68,15.42,16.19,59.0,8.0,5.0
237,11052,Kung Fury: Street Rage,"[6, 34, 39, 46, 48]",Get blown into another dimension as you experience the gut busting fun with the Kung Fury game Beat the Nazis to stop Kung Führer and uphold the law Become the action Be Kung Fury,"[4, 25, 32, 33]",Missing,61.5205295437882,2.31,4.4,11.43,66.0,8.0,16.0
238,11703,The Incredible Adventures of Van Helsing III,"[6, 14, 48, 49]",In Van Helsing III the civil war is over in Borgovia but the future looks grim The city of weird science is in ruins squabbling factions and criminals fight for power and a strange cult prophesizes the coming of The end of times,"[12, 31, 32]",A wave of uncanny events shakes the land and its all connected to a mysterious creature a former ally turned into a fearful archvillain Which means that Van Helsing will do what he does best He wields weapons prepares his deadly tricks and hunts down the most dangerous monster who has ever lived and this time its personal Hes prepared to do anything to achieve his goal even to face the darkest secret about the birth of the modern Borgovia,61.32606312607932,7.91,10.44,14.97,62.0,30.0,45.0
239,14703,Sunset,"[3, 6, 14]",Its 1972 and a military coup has rocked Anchuria You Angela Burnes are trapped in the metropolitan capital of San Bavón Your paradise has turned into a warzone You take up a job as a housekeeper Every week an hour before sunset you clean the swanky bachelor pad of the wealthy Gabriel Ortega,"[5, 13, 15, 31, 32]",Missing,60.89099444847818,4.47,5.0,9.12,62.0,13.0,27.0
240,36070,Virtual Pool 4,[6],Play 8Ball 9Ball Snooker Billiards Pub Pool 27 games total So realistic it will make your real life pool game better Two career play modes trick shots video tutorials multiplayer online Virtual Pool 4 is the most comprehensive cue sport game ever,"[13, 14]",Missing,60.0,0.0,0.0,0.0,90.0,1.0,0.0
241,35720,Dev Guy,[6],With your final build missing and only till the end of the night to publish his game Warren must take up the difficult adventure to make a new build before the end of the night through whatever means necessary Join Warrens quest to publish his title before the end of the night and become an indie dev,"[31, 32]",Missing,60.0,0.58,0.67,0.87,39.0,25.0,59.0
242,35651,Ankh: Anniversary Edition,[6],Sneak into the pharaohs pyramid and meet up with Assil and his crew of crazy friends Just as the party starts to get hot a silly accident turns life upside down Help Assil reverse the curse,"[2, 9, 12, 31]",Missing,60.0,,,,,,
243,35588,Alter World,"[3, 6, 14, 37, 137]",Inspired by Stephen Kings book  The Dark Tower Alter World is a 2D platformer with interesting gameplay mechanics Player can pass on an alternative universe anytime and use an alternative realms to move to another level Levels are unique with puzzles player will have to react quickly and assess when to move between the Worlds The game is made in unique art style like a painting,"[8, 9, 31, 32]",Missing,60.0,3.16,0.0,4.7,59.0,5.0,12.0
