,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
66,214473,Dead Island 2: Deluxe Edition,"[49, 169]",Missing,The Deluxe Edition includes two premium character packs featuring a unique costume and weapon and the Golden Weapons Pack Prepurchase now and get the Memories of Banoi pack with two weapons a special weapon perk and skill card,Missing,Missing,,,,,,
67,214472,Dead Island 2: Gold Edition,"[49, 169]",Missing,The Gold Edition includes the Expansion Pass A deadly virus is spreading across Los Angeles turning its inhabitants into zombies Survive evolve and become the ultimate Zombie Slayer,Missing,Missing,,,,,,
68,212710,Meet Your Maker,"[6, 48, 49, 167, 169]",Missing,Meet Your Maker is a postapocalyptic firstperson buildingandraiding game where every level is designed by players Switch between roles as you mastermind devious mazelike Outposts filled with traps and guards then gear up for methodical fastpaced combat raiding other players creations,"[5, 15, 24]",Missing,9.12,0.0,41.98,70.0,9.0,8.0
69,211441,ArcRunner,"[6, 48, 49, 167, 169]",Missing,ArcRunner is a beautiful Cyberpunkstyled action roguelite set in the far future on board a huge space station where the controlling AI has gone insane and its up to you to traverse the Arc to find and destroy it,"[5, 25, 32]",Missing,3.49,0.0,0.0,63.0,4.0,3.0
70,210565,Varney Lake,"[6, 48, 49, 130, 167, 169]",1954 During the long hot summer Jimmy Doug and Christine are spending their fourth vacation together at Varney Lake Teenage crushes pranks and card tricks long days of adventure a pipe dream of saving the local drivein from demolition theyre kids coming of age  Until they find the Vampire  1981 Lou Hill paranormal investigator has a lead on a mindblowing case Will he be able to convince the now 40something Christine and Jimmy to tell him the truth about that Summer Do they even know themselves  And what really happened to Doug,Summer 1954 A perfect vacation awaits three best friends playing games making crazy plans and running from bullies Until they meet the vampire What really happened that summer at Varney Lake,"[31, 32, 34]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
71,208732,Dig Deep,"[48, 49, 130]",Missing,Grab a shovel and lets get digging Join the adventure hire miners and dig for a treasure,"[13, 15, 31]",Missing,,,,,,
72,208417,Ravenswatch,"[6, 48, 49, 130, 167, 169]",The Nightmares are spreading within Reverie corrupting everything in their path You must hone your skills and find the strength to defeat the creatures of the Nightmare using unique hero abilities inspired by characters from folk tales and legends,Fallen heroes of old folk tales and legends you are on the verge of a crucial battle against the Nightmare invading and corrupting your world A roguelike action game from the creators of Curse of the Dead Gods playable solo or in online coop,"[25, 31]",Missing,5.62,18.8,31.24,80.0,1.0,5.0
73,207616,The Creepy Syndrome,"[6, 48, 49, 130, 167, 169]",Missing,The Creepy Syndrome is an anthology that offers several psychological horror stories with different pixel art and retro 1 bit 8 bit gameboy etc styles Stories of a disturbed mind that intertwine with each other while being analysed by a mysterious psychiatrist,"[8, 9, 12, 13, 31, 32]",Missing,,,,,,
74,204361,Warframe: The Duviri Paradox,"[6, 48, 49, 130, 167, 169]",Missing,A Mad King a mysterious Drifter and a colorshifting unreality as sublime as it is deadly combine in the latest addition to Warframes everexpanding universe The Duviri Paradox,"[5, 12, 25]",Missing,,,,,,
75,201214,The Library of Babel,"[6, 48, 49, 130, 167, 169]",Missing,Join Ludovik in a 2D Stealth Platformer and Graphic Adventure as he explores the jungles of a futuristic Babylon to discover the secret behind the Library of Babels sudden lockdown and the mysteries behind their mythical creators,"[8, 9, 31, 32]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
76,196924,Dogfight,"[48, 130, 169]",Missing,Arcade shootemup action is back Team up with the entire family for explosive action signature humor and thrilling adventure Join the Sausage Bomber Corps for daring missions to defend the nations of Relishtonia and more against the worldconquering ambitions from the mysterious Vega Nation,"[5, 32, 33]",Missing,1.66,0.0,0.0,35.0,2.0,3.0
77,193203,Filthy Animals: Heist Simulator,"[6, 48, 49, 167]",Missing,Join a gang of mutant animals and embark on a series of hilarious heists under the guidance of Tony the mad scientist and getaway driver as he tries to pull off his master plan,"[25, 31, 32]",Missing,,,,,,
